證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"3679","新至陞","650032","90135397","140.50","140.50","137.50","138.50","-5.5000","615"
"3686","達能","548185","10449461","19.80","19.80","18.85","18.95","-0.3000","413"
"3694","海華","1315438","67362125","52.00","52.30","50.30","51.20","0.6000","925"
"3701","大眾控","526432","28074751","54.20","54.30","53.00","53.00","-0.7000","403"
"3702","大聯大","4512549","386946051","85.50","86.50","84.80","86.00","-0.3000","3423"
"3702A","大聯大甲特","77470","3791911","49.00","49.00","48.90","48.95","-0.0500","43"
"3703","欣陸","3278352","118300614","36.90","36.90","35.80","36.00","-0.7500","2312"
"3704","合勤控","1337972","53706745","40.70","40.85","39.70","39.70","-1.0000","1068"
"3705","永信","818895","44825384","55.40","55.60","54.10","54.10","-1.2000","906"
"3706","神達","10558543","481324826","45.80","46.40","45.10","45.10","-0.6000","5879"
"3708","上緯投控","2368006","348910285","150.50","151.00","145.50","147.00","-4.0000","1888"
"3711","日月光投控","9912998","1579639366","158.00","161.00","157.00","160.00","0.5000","5698"
"3712","永崴投控","4249706","205997927","48.70","49.50","48.00","48.30","0.4000","3092"
"3714","富采","2889312","127244020","44.60","44.65","43.65","43.70","-1.2500","2753"
"3715","定穎投控","7546447","467863042","62.90","63.50","60.50","61.00","-0.8000","5665"
"4104","佳醫","150123","13529250","89.90","90.70","89.70","90.00","0.1000","329"
"4106","雃博","169720","4755041","28.10","28.25","27.90","27.95","-0.1000","317"
"4108","懷特","347586","6953774","20.00","20.15","19.90","19.95","-0.0500","343"
"4119","旭富","474993","43207605","92.60","92.60","90.20","90.20","-2.9000","740"
"4133","亞諾法","160943","5258494","32.55","33.10","32.30","32.50","-0.0500","243"
"4137","麗豐-KY","90049","15076930","166.50","168.00","166.50","168.00","1.5000","126"
"4142","國光生","962626","26921139","28.10","28.30","27.60","27.60","-0.3000","569"
"4148","全宇生技-KY","33173","1681950","51.10","51.40","50.30","50.70","-0.2000","63"
"4155","訊映","1331391","35185043","26.25","26.75","26.00","26.40","0.1500","727"
"4164","承業醫","340688","17672521","52.40","52.40","51.60","51.80","-0.3000","325"
"4190","佐登-KY","55499","2563821","46.40","47.00","45.80","45.80","-0.5000","97"
"4306","炎洲","5054093","103290367","20.80","20.80","20.25","20.40","-0.4000","2219"
"4414","如興","1606517","4932397","3.10","3.12","3.04","3.05","-0.0400","199"
