src,pic_url,title,url,date
經濟日報 記者盧宏奇／台北報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/11/2/29795595.jpg&s=Y&x=50&y=50&sw=480&sh=320&exp=3600,中小型利基股 還有戲,https://money.udn.com/money/story/11074/8021695?from=edn_hottestlist_rank,2024-06-10 23:42
經濟日報 記者蔡靜紋整理,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/11/2/29795397.jpg&s=Y&x=50&y=50&sw=480&sh=320&exp=3600,陽明 挑價內外5%,https://money.udn.com/money/story/5739/8021734?from=edn_hottestlist_rank,2024-06-10 22:59
經濟日報 記者王皓正／台北報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/08/realtime/29785145.jpg&s=Y&x=0&y=3&sw=512&sh=340&sl=W&fw=300&exp=3600,15檔5月營收創高股 聚光,https://money.udn.com/money/story/5607/8021693?from=edn_hottestlist_rank,2024-06-10 23:43
經濟日報 記者李泠秭／台北報導,https://udn.com/upf/2017_news/noimg_cid1001_4.jpg,富采、錼創唱旺今年營運,https://money.udn.com/money/story/5710/8021698?from=edn_hottestlist_rank,2024-06-10 23:26
經濟日報 記者周克威／台北即時報導,https://udn.com/upf/2017_news/noimg_cid1001_1.jpg,SCFI 創下2022年8月底來新高 法人維持航海王買進評等,https://money.udn.com/money/story/5607/8022494?from=edn_hottestlist_rank,2024-06-11 10:22
經濟日報 記者謝柏宏／台北報導,https://udn.com/upf/2017_news/noimg_cid1001_0.jpg,安特羅腸病毒疫苗搶手,https://money.udn.com/money/story/5607/8021675?from=edn_hottestlist_rank,2024-06-10 23:17
經濟日報 記者蔡靜紋／台北報導,https://udn.com/upf/2017_news/noimg_cid1001_2.jpg,來億明掛牌 承銷價85元,https://money.udn.com/money/story/5607/8021701?from=edn_hottestlist_rank,2024-06-10 23:41
經濟日報 記者蔡靜紋／台北報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/04/12/realtime/29428780.jpg&s=Y&x=0&y=0&sw=5389&sh=3593&sl=W&fw=300&exp=3600,鴻海、群聯 認購搶鏡,https://money.udn.com/money/story/5739/8021722?from=edn_hottestlist_rank,2024-06-10 23:02
經濟日報 記者尹慧中／台北報導,https://udn.com/upf/2017_news/noimg_cid1001_9.jpg,權王周四除息 拚當日填息,https://money.udn.com/money/story/5607/8021979?from=edn_hottestlist_rank,2024-06-11 03:03
經濟日報 記者崔馨方／即時報導,https://udn.com/upf/2017_news/noimg_cid1001_8.jpg,台股開盤漲126點 台積電漲13元開892元,https://money.udn.com/money/story/5607/8022288?from=edn_hottestlist_rank,2024-06-11 09:06
經濟日報 記者張瀞文／台北報導,https://udn.com/upf/2017_news/noimg_cid1001_5.jpg,"奇鋐目標價 高盛喊1,026元",https://money.udn.com/money/story/5710/8021696?from=edn_hottestlist_rank,2024-06-10 23:38
