src,title,url,date,pic_url
經濟日報 記者楊伶雯／台北即時報導,小資族愛 ETF 00919勝過台積電、鴻海 奪今年來零股交易人氣王,https://money.udn.com/money/story/5607/7990713?from=edn_hottestlist_rank,2024-05-27 11:40,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/27/realtime/29718742.jpg&s=Y&x=76&y=0&sw=765&sh=511&sl=W&fw=300&exp=3600
經濟日報 記者馬琬淳∕台北即時報導,汽車、機械股也切入機器人 這三檔衝上漲停板,https://money.udn.com/money/story/5607/7990591?from=edn_hottestlist_rank,2024-05-27 10:59,https://udn.com/upf/2017_news/noimg_cid1001_7.jpg
經濟日報 記者吳康瑋／台北即時報導,黃仁勳來台助攻！廣達旗下「小金雞」同步亮燈漲停,https://money.udn.com/money/story/11074/7991040?from=edn_hottestlist_rank,2024-05-27 13:37,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/27/realtime/29719485.jpg&s=Y&x=0&y=8&sw=1170&sh=780&sl=W&fw=300&exp=3600
經濟日報 記者邱馨儀／台北報導,輪胎雙雄獲利逐步提升,https://money.udn.com/money/story/5607/7989650?from=edn_hottestlist_rank,2024-05-27 00:53,https://udn.com/upf/2017_news/noimg_cid1001_3.jpg
經濟日報 記者吳凱中／台北報導,欣技業績將季季高,https://money.udn.com/money/story/11074/7989612?from=edn_hottestlist_rank,2024-05-27 01:04,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/27/2/29717175.jpg&s=Y&x=50&y=50&sw=480&sh=320&exp=3600
經濟日報 記者 周克威,一周盤前股市解析／AI PC、機器人概念 聚光,https://money.udn.com/money/story/5607/7989634?from=edn_hottestlist_rank,2024-05-27 01:09,https://udn.com/upf/2017_news/noimg_cid1001_0.jpg
經濟日報 記者吳凱中／台北即時報導,AI、機器人帶旺工業電腦族群 友通、其陽強攻漲停,https://money.udn.com/money/story/5710/7990686?from=edn_hottestlist_rank,2024-05-27 11:34,https://udn.com/upf/2017_news/noimg_cid1001_4.jpg
經濟日報 記者李泠秭／台北報導,精誠、零壹攻 ESG 商機,https://money.udn.com/money/story/5607/7989637?from=edn_hottestlist_rank,2024-05-27 01:09,https://udn.com/upf/2017_news/noimg_cid1001_1.jpg
經濟日報 記者黃晶琳／台北報導,中華電攻 AI 拚兆元市值,https://money.udn.com/money/story/5710/7989628?from=edn_hottestlist_rank,2024-05-27 01:13,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/04/17/realtime/29470714.jpg&s=Y&x=0&y=92&sw=4032&sh=2688&sl=W&fw=300&exp=3600
經濟日報 記者徐牧民/台北即時報導,黃仁勳來台 AI 旋風再起 勤誠衝漲停、改寫新高價,https://money.udn.com/money/story/5710/7990744?from=edn_hottestlist_rank,2024-05-27 11:51,https://udn.com/upf/2017_news/noimg_cid1001_7.jpg
經濟日報 記者陳昱翔／台北報導,元山添利多 下季推新品,https://money.udn.com/money/story/11074/7989614?from=edn_hottestlist_rank,2024-05-27 01:04,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2023/11/16/realtime/27261648.jpg&s=Y&x=0&y=124&sw=1889&sh=1259&sl=W&fw=300&exp=3600
經濟日報 記者楊伶雯／台北即時報導,「穿皮衣的男人」來了 台積電、聯發科領軍 AI 狂潮再起,https://money.udn.com/money/story/5607/7990902?from=edn_hottestlist_rank,2024-05-27 12:50,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/24/realtime/29706958.jpg&s=Y&x=0&y=0&sw=3453&sh=2302&sl=W&fw=300&exp=3600
經濟日報 記者蔡靜紋／台北即時報導,債券買氣爆棚 中信新商品短短三天吸金破百億大關,https://money.udn.com/money/story/5607/7990536?from=edn_hottestlist_rank,2024-05-27 10:43,https://udn.com/upf/2017_news/noimg_cid1001_1.jpg
經濟日報 新聞部新媒體中心,5月27日重要財經行事曆,https://money.udn.com/money/story/5607/7990181?from=edn_hottestlist_rank,2024-05-27 06:54,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/25/2/29709802.jpg&s=Y&x=0&y=0&sw=1279&sh=853&sl=W&fw=300&exp=3600
經濟日報 記者廖賢龍／即時報導,安聯投信：布局可留意電子上游、車用相關及原物料股,https://money.udn.com/money/story/5607/7990193?from=edn_hottestlist_rank,2024-05-27 07:24,https://udn.com/upf/2017_news/noimg_cid1001_2.jpg
經濟日報 梁彥平,基本面撐腰股 逢低布局,https://money.udn.com/money/story/8543/7989633?from=edn_hottestlist_rank,2024-05-27 01:08,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/04/20/2/29490255.jpg&s=Y&x=0&y=0&sw=1277&sh=852&sl=W&fw=300&exp=3600
經濟日報 記者王皓正／台北報導,13檔法人力挺股 多頭主力,https://money.udn.com/money/story/5607/7989624?from=edn_hottestlist_rank,2024-05-27 01:10,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/19/2/29681553.jpg&s=Y&x=0&y=0&sw=1277&sh=852&sl=W&fw=300&exp=3600
